title,singer,lyric,genre
Nhạc Sàn,Wừu, hiện chưa có lời bài hát nào cho nhạc sàn do ca sĩ wừu trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Phai,MicroWave,trút hết những cố gắng chuốc hết những đắng cay gửi vào đêm hoang con tim hao gầy cố nuốt những nước mắt cố nuốt những trái ngang từng ngụm thời gian cho thân hoang tàn thế nhé đôi cánh mỏi rồi vĩnh biệt người tôi yêu còn trông mong chi để lòng thêm hoang mang có trách cũng đã muộn rồi hãy để thời gian lau đi mình cần chi thêm nhau khi đã tàn phai đã có lúc thức trắng để đếm những ánh sao bầu trời thật êm ôm tôi trong lòng cố nuốt những trái đắng bất chấp những trái ngang trả lại thời gian yêu thương ban đầu thế nhé đôi cánh mỏi rồi vĩnh biệt người tôi yêu còn trông mong chi để lòng thêm hoang mang có trách thì cũng đã muộn rồi hãy để thời gian lau đi mình cần chi thêm nhau khi đã tàn phai tàn phai no no thế nhé đôi cánh mỏi rồi vĩnh biệt người tôi yêu no no có trách thì cũng đã muộn rồi hãy để thời gian lau đi mình cần chi thêm nhau khi đã tàn phai tàn phai no no giờ người đã xa rồi chốn đây phút giây bên nhau tàn phai giờ người đã xa rồi nỗi đau bước chân ấy nay còn đâu phai,rock-viet
Đồng Tiền & Quyền Lực,"Huỳnh James, Pjnboys", hiện chưa có lời bài hát nào cho đồng tiền quyền lực do ca sĩ huỳnh james pjnboys trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Sợ Covid,AMER,vì mình sợ covid quá đi nên phải ở nhà hôm nay vì mình sợ covid quá đi nên phải nghỉ làm hôm này luôn rồi vì mình sợ covid quá đi nên sếp đừng trừ lương em em ở nhà không la cà m tính nha sáng sớm thức dậy ta phải chuẩn bị đi làm đánh răng rửa mặt để tinh thần khai sáng nghe tin cô vy nên phải ở nhà cảnh giác tránh làm phiền ng khác trên tinh thần tự giác dù kích thước nhỏ bé nhưng mà em rất tàn ác xâm nhập chặt chẽ ở ngoài tầm kiểm soát và ai cũng nghĩ cô luôn luôn nóng bỏng dính phải cô vy lá phổi nhanh chóng hỏng ý thức rửa tay là giúp bảo vệ gia đình đeo khẩu trang ra đường để phòng chống dịch bệnh phải siêng năng thể dục để không học tính chây lười nhưng phải hạn chế ra đường ko đến nơi đông người không chùn bước sợ hãi phải có ý chí vững vàng chiến đấu với cô vy trong tư thế sẵn sàng tin tưởng hết lòng vào những bác sĩ tài năng đâp tan dịch bệnh cùng niềm tin chiến thắng điện thoại cũng chẳng thèm bật nguồn ở nhà kiếm gì làm cho đỡ buồn từ chối mọi lời rủ rê vì ta biết một khi đi là mang tật về ai nói tui không nể anh em tin hẹn đi chơi tui còn chưa xem nhưng đó là nền tảng chân tình có lỗi đừng đền bản thân mình ở nhà có đói thì đặt buồn miệng thì lên trên mạng hát gặp gỡ bạn bè trên online facetime trò chuyện every all night lời cuối tui muốn nói với mọi người là sắp hết một năm đầy nguy hiểm và chấm dứt dịch bệnh ngay từ hôm nay 2021 lại càng thêm hay,rock-viet
Tìm Lại,MicroWave,chẳng muốn nghe gì chẳng muốn tìm khác đôi mắt luôn tìm tìm về người nhếch môi cười người như hụt hẫng người khóc trong lòng hết rồi chorus1 tìm lại đi hãy tìm lại trong mỗi người để ta không thấy ta như lúc này đường xa quá dài rồi ta mệt nhoài vì ta không đứng bên nhau nữa rồi ngồi đếm sao tàn ngày ấy đừng đến đừng đến vội vàng hết rồi ngồi xuống đây bạn cạn chén rượu kia cạn hết đêm này hết rồi chorus2 tìm lại đi hãy tim lại trong mỗi người để ta không thấy ta như lúc này đường xa quá dài rồi ta mệt nhoài vì ta không đứng bên nhau nữa rồi chorus2 x 2,rock-viet
Nồng Nàn Cao Nguyên,Ygaria,langbiang thân yêu ơi đêm nay ta cùng nắm tay nhau và để bao nhiêu con tim thao thức đêm thâu tình yêu cao nguyên dâng cao trong ta dần xóa tan bao muộn phiền cho dòng suối mát hòa khúc enray nồng nàn ngọn gió hãy lắng tai nghe rừng núi hướng về nơi đây trời cao nguyên đêm sao lấp lánh soi mặt em thơ rạng ngời và thấp thóang kia dáng nhà sàn rực sáng lung linh ngàn thông xanh vi vu reo vui đón những người con về đây rộng vòng tay cùng hòa lời ca đàn chim cao nguyên ơi tung cánh cho trời cao mây trong ngát xanh những cánh hoa xinh mimosa rực trong nắng chiều ngọn langbiang ơi đã bao năm cùng vượt ngàn phong ba bão giông bấy lâu từng nguyện ước vươn xa trời cao nguyên đêm sao lấp lánh soi mặt em thơ rạng ngời và thấp thóang kia dáng nhà sàn rực sáng lung linh ngàn thông xanh vi vu reo vui đón những người con về đây rộng vòng tay cùng hòa lời ca tình anh em,rock-viet
Ly Cafe Ban Mê,Ygaria,ly café như muốn nói nói cùng em câu gì ly café như muốn hát hát cùng em câu gì hương bay theo làn khói vẽ mùa xuân long lanh hương bay theo làn tóc vẽ tình yêu mong manh ánh mắt ánh mắt đắm say hay mùa xuân đang về khói thuốc bâng khuâng ly café tiếng hát tiếng hát cao nguyên như ngàn xưa vọng về ánh mắt soi trong ly café ban mê ban mê,rock-viet
Tiếng Đàn Goong Lu,Ygaria,đêm ta lặng nghe từ suối đắk ka tiếng goong lu trong veo thanh âm của suối của đá thiêng liêng từ ngàn xưa để lại trên đôi tay em bao năm tháng qua tiếng đàn goong lu mải ngân nga ngân nga giọt buồn ngân nga dỗi hờn ngân nga gọi ai ngân nga gọi gió và tiếng goong lu gọi mưa về và tiếng goong lu gọi ta về bên em bên nhau trong mem say rượu ngọt những thanh âm từ suối những thanh âm từ đá những thanh âm từ gió rồi tiếng goong lu gọi mưa về và tiếng goong lu gọi ta về bên em bên nhau trong mem say rượu ngọt những thanh âm từ suối những thanh âm từ đá những thanh âm từ gió tiếng goong lu đắk ka,rock-viet
Khởi Nghiệp Vì Tương Lai,"Linh Giang, Tạ Tấn",kiểu mới tăng trưởng nhanh về quy mô dẫn dắt và làm thay đổi xã hội khởi nghiệp nâng tương lai bay xa với vòng tay con tim bao la cháy hết mình lửa tạo niềm tin sáng ngời ngày mới tia nắng gọi lòng đam mê nhiệt huyết niềm tin lạc quan nỗ lực khởi nghiệp ngay gian nan không lo sẽ cùng nhau vượt qua chông gai trải hoa lòng sáng đẹp đường về tương lai đi cùng nhau nắm tay nhau bạn ơi cùng nhau tiến bên nhau ta khởi nghiệp vượt chông gai khó khăn và dị biệt bước cùng nhau nghe ấm áp cuộc đời bao gian khó sẵn lòng ta đợi mong vươn trùng khơi thách thức như là trò chơi gom nỗi đau soi bất an thành ý tưởng khởi nghiệp cùng giải quyết chuyện muôn phương ra thế giới tự hào ta việt nam đi để quay về xây quê hương đất mẹ phát triển nhanh vững tầm cao và mãi mãi hãy đồng hành khởi nghiệp vì tương lai,rock-viet
Ở Đó,Thoại 004,em vẫn ở đó ánh mắt tròn to mỉm cười em vẫn ở đó giữa một ngày mưa to đợi một người em vẫn ở đó nhưng không vì ngóng trông anh vì vì em đã có thêm một ai khác em vẫn ở đó mắt đâu còn sưng to lo vẩn vương em vẫn ở đó chuông điện thoại reo to ai đang trả lời anh vẫn ở đó mưa rơi làm ướt mắt anh rồi vì em đã mãi bên một ai khác dừng lại đi trở về những tháng ngày xưa ấy anh luôn muốn em đang ở đây người dừng lại đi đừng bỏ mặc anh một mình như thế cơn mưa cứ mãi rơi lạnh lùng dừng lại đi đừng bỏ mặc anh một mình như thế anh luôn muốn em đang ở đây người dừng lại đi đừng vội chạy theo một tình yêu mới bao nhiêu yêu dấu vẫn đang còn đây cơn mưa cứ mãi rơi và anh cứ mãi ở đây và đợi,rock-viet
Đi Tìm Bóng Núi,Ygaria,một mình một mình lang thang trên núi đi tìm đi tìm bóng núi ngày xưa một mình một mình lang thang trên núi đi tìm đi tìm bóng núi ngày xưa bây giờ em đã theo chồng lên núi phát nương tra lúa bây giờ không còn mùa hạ để chiều tím đỏ chờ mong bây giờ vẫn còn lối mòn mình anh lang thang lang thang bây giờ không còn mưa rừng để cho đôi ta đi chung tàu lá xưa mình che đầu giờ đã không còn che đầu nay em che cho người khác không thương anh em không còn thương à à ơ bây giờ em đã theo chồng lên núi phát nương tra lúa bây giờ không còn mùa hạ để chiều tím đỏ chờ mong bây giờ vẫn còn lối mòn mình anh lang thang lang thang bây giờ không còn mưa rừng để cho đôi ta đi chung tàu lá xưa mình che đầu giờ đã không còn che đầu nay em che cho người khác không thương anh em không còn thương à à ơ một mình anh ôm câu hát đi tìm bóng núi ngày xưa một mình anh ôm câu hát đi tìm bóng núi ngày xưa một mình anh ôm câu hát đi tìm bóng núi ngày xưa một mình anh ôm câu hát đi tìm bóng núi ngày xưa một mình anh ôm câu hát đi tìm bóng núi ngày xưa một mình anh ôm câu hát đi tìm bóng núi ngày xưa,rock-viet
Và Em,MEC Music Club,tự nhìn lại mình khi không còn những nốt nhạc nhìn lại khi không còn những tiếng đàn điều gì đã khiến cho tôi trở nên vô định khao khát khi xưa như mô hình một ngày bồn chồn khi không được hát câu nào bực bội khi không được nghe tiếng nhạc tưởng tượng rằng nếu như có một thế giới âm nhạc sẽ có biết bao nhiêu niềm vui bỏ lại hết tôi vẫn cứ đi tìm tìm thế giới tôi đã từng mộng mơ bao mơ ước xưa kia giờ như đang quay lại mang thêm bao nhiêu niềm tin một thế giới không mang toan tính gì chỉ cần có thứ âm nhạc mình yêu để được hát lên và nhảy múa với những đam mê những đam mê rồi lại tỉnh dậy khi không còn những nốt nhạc tình dậy khi không còn những tiếng đàn vậy là chẳng có đâu một thế giới âm nhạc không giống như tôi đã mong chờ bỏ lại hết tôi vẫn cứ đi tìm tìm thế giới tôi đã từng mộng mơ bao mơ ước xưa kia giờ như đang quay lại mang thêm bao nhiêu niềm tin một thế giới không mang toan tính gì chỉ cần có thứ âm nhạc mình yêu để được hát lên và nhảy múa với những đam mê những đam mê tôi tìm kiếm điều mơ ước trong vô vọng sợ rằng khát khao sẽ không quay về đây rồi chợt nhận ra âm thanh ngay bên mình là điều tôi muốn đi tìm bấy lâu giờ tôi biết thế giới tôi kiếm tìm là thế giới xung quanh bên cạnh tôi bao mơ ước xưa kia giờ như đang quay lại mang thêm bao nhiêu niềm tin một thế giới không mang toan tính gì chỉ cần có thứ âm nhạc mình yêu để được hát lên và nhảy múa với những đam mê những đam mê,rock-viet
Gọi Em,Ygaria,hỡi cô gái bana yêu ơi bên dòng sông đakbla xanh trôi êm đềm anh tìm em gọi em nơi đâu nơi rừng xanh chiều nay chờ ai bên núi hỡi cô gái jrai yêu ơi ngồi bên nhà rông nơi đây anh mong chờ anh gọi em tìm em nơi đâu chỉ nghe rừng thiêng rộn vang tiến thét gào anh gọi núi núi không trả lời anh gọi suối suối vẫn rì rào anh gọi gió gió vẫn bay đi anh gọi em em có nghe không anh gọi núi núi không trả lời anh gọi suối suối vẫn rì rào anh gọi gió gió vẫn bay đi anh gọi em qua nỗi mong chờ hãy về bên anh hỡi cô gái mnông yêu ơi bên dòng sông krông nô xanh trôi êm đềm anh tìm em gọi em nơi đâu nơi rừng xanh chiều nay chờ ai bên núi hỡi cô gái êđê yêu ơi bên dòng sông ana xanh trôi êm đềm anh gọi em tìm em nơi đâu chỉ nghe rừng thiêng rộn vang tiến thét gào,rock-viet
Sống Như Chưa Từng,"Dakota, DLBlack",tâm trí này rèn đôi chân đạp lên những quả bóng mang nghi ngờ ngày mai tới cùng tâm huyết lại viết tiếp bài ca từng lãng quên bản chất ngang tàn đời vốn không nhàn bởi vậy hãy giữ cơn mơ sống trong hiện thực chạy trên lối mòn theo ánh sáng mờ tìm lại trong đêm cảm xúc khát khao mong chờ cùng hoài bão ta như diều hâu vỗ cánh điên cuồng tung sải cánh băng qua bầu trời đêm bay cùng gió lao đến chân trời tìm về giấc mơ màu hoàng hôn bình yên trôi ngắn như giấc ngủ trưa lòng người đa đoanbiết đối sao cho vừa ngày thanh xuân vẫn mong từng tia nắng để bình minh lêncuộc sống lên tinh thần đập nát tư duy ngủ quên trên chiến thắng đừng cho dối gian che ánh sáng huy hoàng nhắm mắt ru mình vào cơn gió mát để những tâm tư cháy lên những giai điệu hãy sống như chưa từng được sống hãy hét cho con tim thôi hết u sầu để xác thân đắm chìm vào trong cơn mơ để trái tim hoang tàn cũng những đam mê cùng những đam mê eh eh eh lâu rồi không còn có dịp anh em bia lòng trần quang khải vì cuộc sống có quá nhiều thứ mà chúng ta cần trang trải chạy theo cơm áo gạo tiền gánh nặng dần ngang vai nên ta xin thêm đôi câu hát cùng nhịp flow gần mang tai oh cho nhịp flow và vần câu hòa gần nhau cho ta feel theo câu hát như lần đầu cầm cây bút đứng trước mic còn run run nhưng vẫn viết về sự đời ngày khốn khó ngày ung dung ngày mệt mỏi với bao lo toan về vẫn phải tập flow cho đúng thả vào nhịp sao cho trúng đầu vẫn gật khi bass rung là đam mê ở trong ta vẫn luôn vẫy vùng nhưng tương lai là con đường dài nên ta phải tự định và vững tay chẳng may nếu có ngã thì tự mình mà đứng dậy vì ta chỉ sống được 1 lần thất bại là 1 phần đồng hành với ta như cột chân nên đừng để đam mê ngày nào đó mai một dần vinh quang dù rằng xa cố gắng biến một gần vì trong ai cũng có hoài bão cùng giấc mộng riêng nên âm nhạc chưa bao giờ qua loa cho xong chuyện giờ thì người bắc người nam nhưng anh em vẫn cùng cống hiến dù để nuôi được đam mê thì ta phải có cả đống tiền eh eh eh vì trong ai cũng có hoài bão cùng giấc mộng riêng nên âm nhạc chưa bao giờ qua loa cho xong chuyện giờ thì người bắc người nam nhưng anh em vẫn cùng cống hiến dù để nuôi được đam mê thì ta phải có cả đống tiền hãy sống như chưa từng được sống hãy hét cho con tim thôi hết u sầu để xác thân đắm chìm vào trong cơn mơ để trái tim hoang tàn cũng những đam mê,rock-viet
Quên,MicroWave,vẫn thấy em như còn đó tiếng nói cười ngày nào quẩn quanh đâu đây hương tóc em níu kéo điều gì còn lại xin hãy bước đi ánh mắt nụ cười bờ môi xin đừng về nữa trong những giấc mơ vì anh không không còn yêu em gần bên em không làm a đau như ngày nào anh không còn nhớ em dù đôi môi em làm anh đắm say ngày nào những lá thư trao còn đó chất chứa 1 thời mộng mơ làm sao quên đi bóng dáng em góc phố nơi ta hò hẹn xin hãy bước đi ánh mắt nụ cười bờ môi xin đừng về nưuã trong những giấc mơ vì anh không không còn yêu em gần bên em không làm a đau như ngày nào anh không còn nhớ em dù đôi môi em làm anh đắm say ngày nào say ngày nào xin trao lại yêu thương ngày xưa em làm anh quên ước mơ ngày nào ước mơ ngày nào anh thôi gọi tên em và mơ không làm anh nhớ như ngày nào nhớ như ngày nào lời hứa sẽ mãi trọn đời yêu thương lúc trước đã quá xa hãy cố quên hạnh phúc lúc ấy giờ là cơn mơ vỡ nát làm sao xóa hết đi đi hình dung của em ngày nào làm sao quên không không còn yêu em gần bên em không làm anh đau như ngày nào đau như ngày nào anh không còn nhớ em dù đôi môi em làm anh đắm say ngày nào đắm say ngày nào xin trao lại yêu thương ngày xưa a bỏ quên giấc mơ ngày nao anh thôi gần bên em và mơ không làm anh nhớ như ngày nào nhớ như ngày nào,rock-viet
XXV,Bức Tường, hiện chưa có lời bài hát nào cho xxv do ca sĩ bức tường trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Cao Nguyên Vào Mùa,Ygaria,ôi cao nguyên cao nguyên nắng gió buổi sáng phố núi có dáng em qua ôi quê hương quê hương ấm áp dạy tôi mênh mang mênh mang hát ca lang thang lang thang hát ca lá lá la la lá lá la la lá lá la la lá lá la la tôi đi xa đi xa vẫn nhớ cà phê đắng mỗi sáng nhấm nháp trên môi em long lanh long lanh ánh mắt còn đó có chút lãng đãng thơ ngây có chút quyến rũ hay hay cao nguyên cao nguyên vào mùa đêm nay nghe thương nhớ ai mơ tôi mơ tìm về thèm ly cà phê buổi sáng cao nguyên cao nguyên vào mùa em như hoa nắng tươi đôi môi ngoan ngày nào và ly cà phê buổi sáng ôi đam mê hê hê hê hê hê hê lá lá la la lá lá la la lá lá la la lá lá la la lá lá la la lá lá la la lá lá la la lá lá la la,rock-viet
Chuyện Làng Bên,Thoại 004,người ta nghe nói rằng ở làng bên có một cặp tình nhân họ yêu nhau đắm say yêu đến mức dành trọn cuộc đời cho nhau nàng đã trót yêu ai và người đó chẳng phải là anh kìa bóng tối kéo về lê đôi chân là ánh mắt sát nhân trong đêm tối anh ta đâm cô ấy và lấy đi trái tim anh ta rú lên trong cơn đau đớn vội biến mất sau màng đêm để lại nơi đây một xác chết không tim một hai ba bốn ngày tin đồn ấy cứ ngày càng lan ra người ta đồn thổi rằng ở đâu đấy chàng tìm người để thay tim bóng tối kéo về sau sương khói là dấp dáng của ai tiếng khóc mơ màng rồi vụt tắt ở dưới ánh trăng trong đêm tối anh ta đâm cô ấy và lấy đi trái tim giọt nước mắt rơi trên những vũng máu vì đó không phải là nàng chạy đi thật nhanh vào trong chốn hư vô người ta tìm thấy chàng đã tự sát tự treo mình trên cây cao người ta thắc mắc rằng tim cô gái giờ đang ở nơi nao,rock-viet
Tôi Người Hải Phòng,Tuấn RC, hiện chưa có lời bài hát nào cho tôi người hải phòng do ca sĩ tuấn rc trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
One Time,Do It DAD, hiện chưa có lời bài hát nào cho one time do ca sĩ do it dad trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Mỗi Khi Đêm Về,"Minh Đinh, Nger", hiện chưa có lời bài hát nào cho mỗi khi đêm về do ca sĩ minh đinh nger trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Vài Gã Trên Đường,Savage Monkeys, hiện chưa có lời bài hát nào cho vài gã trên đường do ca sĩ savage monkeys trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Thiên Thần Về Giời,Minh Đinh, hiện chưa có lời bài hát nào cho thiên thần về giời do ca sĩ minh đinh trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
BÃO,NevaDie,nơi tôi mới sinh ra có sóng từ biển cả sóng vỗ ngoài đảo xa sóng tới bờ yên ả bỗng có gió âm u kéo tới mưa mịt mù cuốn mất em tôi đi người mà tôi yêu quý bão đi qua gió đi qua bay mất đi ngôi nhà nước dâng lên lũ dâng lên người trôi đi người chết khóc cho ai thắp cho ai nén hương của người ở lại bão qua đi người phân ly xác xơ chẳng còn những gì dòng nước trôi gia đình tôi vè đau sao nói cứ chạy trước ba mẹ theo về sau những đứa é này đâu có tội đâu tại sao trời lại giao những nỗi đau người dân tài sản thì mất trắng có người chỉ giữ được cái mạng còn nhiều người thì không may mắn gánh nặng gia đình này rồi ai mang có ai nghe những đứa bé đang than khóc tiếng gió bão cùng với những âm thanh gào thét vang vọng nước đã lấp đầy trong cổ họng thấy người thân trước mắt nhưng vô vọng bão tố thiên tai có chắc là do thiên định hay vì con người phá hoại thiên nhiên cho mục đích của riêng mình tự biến miền quê này chẳng còn là nơi yên bình nơi tôi mới sinh ra có sóng từ biển cả sóng vỗ ngoài đảo xa sóng tới bờ yên ả bỗng có gió âm u kéo tới mưa mịt mù cuốn mất em tôi đi người mà tôi yêu quý bão đi qua gió đi qua bay mất đi ngôi nhà nước dâng lên lũ dâng lên người trôi đi người chết khóc cho ai thắp cho ai nén hương của người ở lại bão qua đi người phân ly xác xơ chẳng còn gì bão đi qua gió đi qua bay mất đi ngôi nhà nước dâng lên lũ dâng lên người trôi đi người chết khóc cho ai thắp cho ai nén hương của người ở lại bão qua đi người phân ly xác xơ chẳng còn chi,rock-viet
Sầu Riêng,Minh Đinh, hiện chưa có lời bài hát nào cho sầu riêng do ca sĩ minh đinh trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Khởi Hành,Beat, hiện chưa có lời bài hát nào cho khởi hành do ca sĩ beat trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Chỉ Là Giấc Mơ,MicroWave,như dòng sông vẫn trôi trôi về nơi cuối trời phút giây chờ mong mong chờ nơi phố thấy dáng em yêu kiều về từ nơi xa xôi và cơn gió khẽ rung trong tôi êm đềm tựa vầng trăng sáng soi đưa mây qua thềm lặng nhìn em thoáng qua nhưng sao không gọi nên lời gọi tên em vỡ tan những chiều mưa rơi lòng thầm mong bước đi bên em một ngày được nhìn em hát vu vơ câu sum vầy rồi từ đây dáng em luôn ở trong tôi ngỡ như không còn xa xôi thế nhưngchỉ là giấc mơ khi thời gian chóng qua bao mộng mơ đã xa vẫn nuôi hoài mong mong chờ nơi phố thấy dáng em hao gầy về trong đêm mưa và cơn giông xé tan trong tôi đêm ngày tựa vầng trăng khuất sau sương đêm dâng đầy lặng nhìn em thoáng qua nhưng sao không gọi nên lời gọi tên em vỡ tan những giọt sương rơi lòng thầm mong bước đi bên em một ngày được nhìn em hát vu vơ câu sum vầy rồi từ đây dáng em luôn ở trong tôi ngỡ như không còn xa xôi thế nhưngchỉ là giấc mơ mình tôi với nỗi ưu phiền trông về nơi xa mưa vẫn rơi bên em chờ tôi trông thấy nụ cười trong ánh mắt em,rock-viet
Trái Tim Cô Đơn,"IMATXI, Killic",và rồi em cũng bỏ anh đi lặng nhìn cứ thế xa dần và ngày dần tàn hãy ở lại đừng đi từng khờ dại đã xem nhau là tất cả yêu thương dù bầu trời kia sương thôi đọng lại dù mặt trời kia mất đi hình hài ngày đó em đi chẳng câu giã từ lòng đã trót trao tình quá đắm say để giờ này vẫn chờ đợiiii ngu ngơ trái tim cô đơn giá băng bao ngày vì em mỗi đêm anh mang nỗi nhớ đi tìm em cô đơn cứ thế lớn dần thêm ngày đầu anh yêu là trái tim nồng ấm dấu nước mắt trong những nỗi đau vì dấu yêu người còn đây mây đen khuất lấp kéo màn mưa cuốn hết những yêu thương của ngày xưa ngàyy dài anh mơ nắng sẽ mang em trở về đắm say trong một ánh mắt chỉ chút thoáng qua nhưng mất cả đời chẳng thể quên ngày đầu gặp mặt đã bao năm tháng qua anh thường ngồi tâm tình với cô đơn nhâm nhi cùng chút kỉ ức buồn ta đã từng hạnh phúc trong môi hôn đã từng nhiều lần cãi vã trong những lúc hờn chén tình đã cạn cốc liệu em còn khóc vì quãng thời gian mà ta đã đi qua hay cuộc sống mới đã cho em hạnh phúc quãng kí ức đó với em chẳng là gì cả sau tất cả thì tình là gì là những tấm hình nằm trong vali sau tất cả thì tình là gì và ai sẽ đau nhất khi một người ra đi là anh là em hay là góc phố cũ là kỉ niệm mà chỉ còn anh cố giữ hay chẳng là gì vì giờ em đã có đủ có bao giờ tình yêu làm em 1 lần khó ngủ đằng sau đôi mắt thường ngày là cả một khoảng trời đau thương dù ta không còn chung con đường này em sẽ luôn có anh ở sau lưng trái tim cô đơn giá băng bao ngày vì em mỗi đêm anh mang nỗi nhớ đi tìm em cô đơn ngày đầu anh yêu bằng trái tim nồng ấm dấu nước mắt trong những nỗi đau vì dấu yêu người còn đây mây đen khuất lấp kéo màn mưa cuốn hết những yêu thương của ngày xưa ngày dài anh mơ nắng sẽ mang em trở về,rock-viet
Qua Ô Cửa Thời Gian,Quái Vật Tí Hon,trời xanh ơi sao đứng mãi bên khung cửa chỉ ngắm nhìn chẳng ngồi bên tôi nghe dòng đời như đang bỏ rơi đám mây nhỏ tội nghiệp thân mây trôi mãi trôi đến bao giờ hòa vào trời xanh kia lãng quên còn mây nhìn làn khói khói mây giờ tan như mây khói ngày hôm qua tôi muốn làm cơn mưa nhỏ tắm mát những giấc mơ còn ngủ vùi trong cơn mê nhỏ chỉ chờ gió đem ta làm cơn mưa dẫu mưa từng cơn cơn mưa mưa từng cơn ánh mắt như hút sâu vào ánh bình minh đến muộn ngày trôi nhanh bên ô cửa đôi tay run run nâng niu những đốm lửa thắp lên những giấc mơ mê man nhìn làn khói ôi cuộc đời chỉ mong làm mưa xóa trôi hết thôi ôi đời quá dài dẫu lại ngày trôi nhanh bên ô cửa ngước nhìn trời xanh chợt buông từng ánh nắng mong manh ôi đời quá dài vẫn dài quá dài bên ô cửa thời gian ơi sao mãi mãi trôi mãi không ngừng cho lòng chơi vơi tìm về con sông ta đánh rơi những khát vọng khi đời long đong lãng quên khúc quan họ cuốn theo khúc quanh co xác xơ góc quán trọ hát quan họ ngậm ngùi ta nghe từng trái tim hồng thì thầm trong cõi mê nồng cất tiếng hát của con người trở về nơi mẹ đưa nôi bình minh đã đến đây rồi dường lòng vẫn chưa cười nước mắt rơi bên khung cửa khung trời thều thào thì thầm ước nguyện thì thầm,rock-viet
Đường Về,Quái Vật Tí Hon,trôi qua những nụ cười chìm trong câu hát nam bộ mắt tôi rưng rưng khi gió mùa đông bắc về nơi đây hình hài thế thôi dòng người vẫn như dòng nước cuốn tôi lặn ngụp trong bao tiếng gọi mời đã có bao giờ ta nhớ tiếng ca ta nhớ bao giờ đã có đôi lần ta khóc oán than ta khóc đôi lần chợt nghe bên tai thì thầm về thôi ai ơi đường dài về nhấc chén say ta vứt đời chợt nghe đôi chân vội vàng đường xa hun hút bụi trần mà lòng người vẫn nghe hun hút đường về đôi khi lòng muốn yên lặng đâu cớ vì ta không nói vì ta vương vấn nhiều rồi đôi khi mình vẫn quên mình đâu cớ vì ta không đến vì ta trôi vẫn chưa về đã có khi nào mơ ước ước mơ mơ ước khi nào những giấc mơ đều tung cánh vút cao vui đùa trong nắng có khi nắng cũng phai màu,rock-viet
Có Anh Trong Cuộc Đời,Rút Kinh Nghiệm,kể từ ngày có anh trong đời em là từng ngày lướt qua thật dịu êm có sóng gió cũng như mây nhẹ trôi vì anh ở đây rồi vì anh luôn bên em có anh trong cuộc đời mọi thứ như thêm màu xanh trái tim em mỉm cười mỗi khi em nhìn anh sáu mươi năm cuộc đời hạnh phúc sẽ không hề vơi sáu mươi năm tuyệt vời vì có anh trong cuộc đời từng là ngày giấc mơ vỡ đôi từng là ngày màn đêm kín lối đã có những đớn đau ngày hôm qua giờ em có anh mà giờ anh luôn bên em có anh trong cuộc đời mọi thứ như thêm màu xanh trái tim em mỉm cười mỗi khi em nhìn anh sáu mươi năm cuộc đời hạnh phúc sẽ không hề vơi sáu mươi năm tuyệt vời vì có anh trong cuộc đời,rock-viet
Việt Nam Việt Nam,"MTV, Nguyễn Dân",bao nhiêu con tim đang hướng về một nơi xa xôi nơi có những con người rất trẻ và khao khát lớn mang trên vai sứ mệnh phi thường nặng tựa non sông với đôi chân tung hoành nước bạn làm nên chiến thắng oh oh cả dân tộc bừng sáng lên oh oh việt nam vô địch việt nam việt nam cháy mãi đam mê biết bao triệu con tim việt nam việt nam gian nan và chông gai vẫn kiên cường việt nam việt nam viêt tiếp giấc mơ túc cầu nhìn ra thế giới triệu con tim trao hết những yêu thương cùng nhau ta đón lấy vinh quang việt nam việt nam,rock-viet
Bánh Xe Thời Gian,Cụ Minh Rock,ngồi xuống đây ta thấy những vết xe hằn trên dấu chân thời gian từng vết xe ta thấy những con người cùng lao xuống đáy vực sâu từng đêm ta luôn nhung nhớ về những đứa em thơ dại từng đêm ta luôn khao khát về một thời xa quá xa lặng bước đi những bước chân mỏi mệt hằn sâu vết xe thời gian từng ngón tay nắm lấy những vinh quang rồi buông hết trong lầm than ngày qua ta luôn trông ngóng về quá khứ đã xa rồi ngày qua ta luôn khao khát về một ngày xa quá xa tìm thấy nhau những phút giây muộn màng để quên hết chốn hỗn mang từng cánh tay níu lấy nắm tro tàn đằng sau bánh xe thời gian ngày qua ta luôn trông ngóng về quá khứ đã xa rồi ngày qua ta luôn khao khát về một ngày xa quá xa sao tim đen còn mãi nuối tiếc về một ngày xa qua quá xa sao tim đen còn mãi nuối tiếc về một thời ta đã qua dù đó chỉ là một nắm tro tàn hư không,rock-viet
